name,hours,lat,long
Dune Coffee Roasters (Goleta),~ 6am to 4pm,34.43099988,-119.8693269
Dean: A coffee shop,~ 6am to 3pm,34.43484275,-119.8359269
Old Town Coffee,~ 6am to 5pm,34.43738674,-119.8287011
Java Station,6am to 5pm,34.43960899,-119.771957
Handle Bar (Upper State),6:30am to 5pm,34.43804714,-119.725912
Handle Bar (Lower State),6:30am to 5pm,34.42374677,-119.6984462
Lighthouse Coffee,6am to 4pm,34.41828592,-119.6999493
Dune Coffee Roasters (Downtown),~ 6am to 5pm,34.41897385,-119.6953248
Backyard Bowls,8am to 5pm ,34.42122315,-119.6936946
Dart Coffee Co,7am to ~4pm,34.416914,-119.6896685
"""Fancy"" Caje Coffee Roasters",7am to 6pm,34.42190327,-119.6904972
